quarter,MAE,RMSE,Bias
2018Q1,0.07358003955084305,0.08779673279034629,-0.023908237053716877
2018Q2,0.11606661092031445,0.15292334651681685,-0.10473493442229952
2018Q3,0.10206802290957899,0.1327810349439789,-0.06644427963599212
2018Q4,0.17125842343071124,0.22238796824893733,-0.03293627255249021
2019Q1,0.17967414844411417,0.2549039562206466,0.06101541712247421
2019Q2,0.1400691284472962,0.19690870433814162,0.13674465665650565
2019Q3,0.15929253106372038,0.2507020995904752,0.13494591136412248
2019Q4,0.12555033535434929,0.14021306533310068,0.035258467278973374
2020Q1,0.2475172218047478,0.32798906808820566,-0.12765326785711426
2020Q2,0.1603539257625962,0.1823643962516307,0.11499847930385788
2020Q3,0.20140680989377216,0.29371074482193243,0.127409362594442
2020Q4,0.15759780019440345,0.19027327343163855,0.11247531096296223
2021Q1,0.17417192871087575,0.20904943159053957,0.09570843226507952
2021Q2,0.14142546315345672,0.14950918035101035,0.11736937236441222
2021Q3,0.10352032431850924,0.11591177460274794,0.10150736322093232
2021Q4,0.05643356256137212,0.06957652640742946,0.0013132179843825592
2022Q1,0.05100616152059587,0.06706386081424659,-0.0010979630501314
2022Q2,0.04999455118262145,0.0579272926182023,-0.0142862300869887
2022Q3,0.12610155785694818,0.13266797757311918,0.12610155785694818
2022Q4,0.05847850731939176,0.07374979204174383,0.04243599877624659
2023Q1,0.07321677741461505,0.09987854320257493,-0.03745829684585795
2023Q2,0.05692607977333539,0.06520891482648154,0.052389474474425476
2023Q3,0.05775930053103044,0.07092566996882707,0.004561279403580336
2023Q4,0.05886942620135968,0.07256713454215637,0.02662453317043607
2024Q1,0.07159613190671053,0.08832933681841819,-0.01158443035146407
2024Q2,0.13598276892827071,0.16573140179237716,-0.04831969043542772
2024Q3,0.0979165034779309,0.1211456413679077,-0.05345898276765054
2024Q4,0.12755257021501482,0.15377808666824475,-0.017929049107490352
2025Q1,0.09891910463999806,0.11451928060830789,0.015225630414028682
2025Q2,0.1491796227176406,0.16682466360868686,-0.019692758324042173
2025Q3,0.1393567979014947,0.144209624472821,0.12521441917287168
