date,sigma_gjr,target_sigma
2018-02-02,0.35665517062153734,0.3035728204996473
2018-02-05,0.35942583245034665,0.324950423893547
2018-02-06,0.4042996255011682,0.3247026566198886
2018-02-07,0.34514823492940666,0.2712213841619637
2018-02-08,0.3464611033002986,0.41686709325498783
2018-02-09,0.6644114009439351,0.4184872866868872
2018-02-12,0.37080215567268854,0.4222629802082255
2018-02-13,0.36072322238308074,0.4331662819036532
2018-02-14,0.359949503165147,0.4305502849570837
2018-02-15,0.3606444427262631,0.44386183663961015
2018-02-16,0.3607622741984762,0.443837688629308
2018-02-20,0.35846274962244995,0.43952732317216364
2018-02-21,0.35834529039404656,0.4389409681633489
2018-02-22,0.3588591774012829,0.4605360368268559
2018-02-23,0.35409488559198266,0.45910835618382234
2018-02-26,0.3514017791748411,0.45229125759344885
2018-02-27,0.3504689431325841,0.45538965315244384
2018-02-28,0.36840601970771575,0.4575905478051214
2018-03-01,0.3797647159006458,0.4725778272756816
2018-03-02,0.4259380419469727,0.46606253798069147
2018-03-05,0.35028602594215197,0.46423955231522546
2018-03-06,0.3519915597508466,0.46412828131519807
2018-03-07,0.3646875470526779,0.4541259903483584
2018-03-08,0.3507647266627636,0.4551972850974491
2018-03-09,0.35622573347154124,0.4390640550842699
2018-03-12,0.35283544488089363,0.35255132214235196
2018-03-13,0.35590978307464194,0.34959983177364234
2018-03-14,0.36127667815445763,0.3867606846012331
2018-03-15,0.45869468545821934,0.3776585004562797
2018-03-16,0.3567649721633279,0.3802591567292449
2018-03-19,0.3644545480471843,0.3655130418521347
2018-03-20,0.3844514364088237,0.36520381608074515
2018-03-21,0.36073389922555377,0.3736258607124841
2018-03-22,0.35378366213780305,0.3807040123373576
2018-03-23,0.38179771112607325,0.35574327061255007
2018-03-26,0.3863321893750496,0.3500722050580738
2018-03-27,0.3533191079782093,0.43420556455451026
2018-03-28,0.6262522355030443,0.49394484579257947
2018-03-29,0.6984382514480806,0.5183434892491037
2018-04-02,0.36185897430590525,0.5310762233423529
2018-04-03,0.5809460373950127,0.5794559067178864
2018-04-04,0.4860950785651312,0.6435742364187736
2018-04-05,0.4643431415017479,0.6871965069143641
2018-04-06,0.476717499554128,0.6873349145465403
2018-04-09,0.4495705997039225,0.693931330927621
2018-04-10,0.4821974692104723,0.7212006427339058
2018-04-11,0.45056480730991944,0.6900639584368441
2018-04-12,0.4178776953898676,0.6923102784906524
2018-04-13,0.4239981315149825,0.684211454903662
2018-04-16,0.40041169360969175,0.6904897107154314
2018-04-17,0.4435720255658626,0.6903584314334279
2018-04-18,0.4183391451747949,0.6917167368172543
2018-04-19,0.3902184431442305,0.696950491123241
2018-04-20,0.37148340941636615,0.7009688167759854
2018-04-23,0.4307082894466256,0.7010402629478648
2018-04-24,0.436158622921395,0.6971162830057118
2018-04-25,0.40577357663597596,0.6961660553249652
2018-04-26,0.3900761408350113,0.6317870985069846
2018-04-27,0.372562774130077,0.5656869314537507
2018-04-30,0.36061060079669915,0.5583055484215834
2018-05-01,0.3489626066286857,0.519688897913571
2018-05-02,0.34142272721689587,0.48726616165661196
2018-05-03,0.3336742889003445,0.4743292038431271
2018-05-04,0.4947633366935994,0.4329969125403193
2018-05-07,0.45710514615995107,0.4396526698426168
2018-05-08,0.43061701444502637,0.4229872763592838
2018-05-09,0.4069417984700224,0.3884331568866661
2018-05-10,0.39001505128887437,0.3863915590040571
2018-05-11,0.37668834274273183,0.38019585132254097
2018-05-14,0.3726225227660956,0.3881403108205723
