quarter,MAE,RMSE,Bias
2018Q1,0.0652457848824249,0.08181870127041033,-0.025016287023201526
2018Q2,0.06037383996860322,0.06738278627488396,-0.013134529130337323
2018Q3,0.04597385265506346,0.054921063335287366,-0.0035860438141935296
2018Q4,0.08520680809819192,0.10669681121129866,0.07093586546947395
2019Q1,0.08445233042230142,0.11833441554589325,-0.01126627432644276
2019Q2,0.03671984172568282,0.05661368033555564,0.023726273511529235
2019Q3,0.04354404468127762,0.05736127450453915,0.02988710772624122
2019Q4,0.03810030904578603,0.04259676268562556,0.03792436051132149
2020Q1,0.11562872420399394,0.18709303696986354,0.06222861783163719
2020Q2,0.1470846391980077,0.21223707275140385,-0.1167729934046928
2020Q3,0.10735334796866006,0.14283334681712254,-0.0072417773822965196
2020Q4,0.05486669358304154,0.07379020493011244,0.010538946164673555
2021Q1,0.05618422440627842,0.0720863647571713,0.045855529178805886
2021Q2,0.06682630369913814,0.07244406887466902,0.06682630369913814
2021Q3,0.024032410252869785,0.03033273407443353,-0.0026456534109728655
2021Q4,0.022634951172806717,0.026967667050884443,-0.01566047897159626
2022Q1,0.03216260695174533,0.041804852977737735,-0.02824060051004331
2022Q2,0.04181635915589261,0.050044796629947895,-0.021882427447007927
2022Q3,0.040931951143623954,0.0570579695302757,0.03437075897303564
2022Q4,0.06549292485302002,0.08076337693661123,-0.03998143989501997
2023Q1,0.03775458382715299,0.043034881485586374,0.036507000184766325
2023Q2,0.028836971566690645,0.03396901455100916,0.0008011638303424372
2023Q3,0.02038033808761616,0.028130401814963117,0.011036299698127524
2023Q4,0.027322786422039346,0.030984688768629542,0.026331458237732547
2024Q1,0.02561333560690201,0.03158279642742571,0.0013907291071630916
2024Q2,0.06151643566022533,0.06689757627787737,-0.051017562544469965
2024Q3,0.04866160982026277,0.06017983228874722,-0.017304673779700214
2024Q4,0.05099158106849029,0.059908807227553165,0.04357709230945574
2025Q1,0.042438131633028724,0.04914116542615605,-0.030101454979520326
2025Q2,0.131179240112117,0.1952626766807494,-0.09216104525223229
2025Q3,0.05415851972900295,0.061166726520481024,0.028473971600758596
