quarter,MAE,RMSE,Bias
2018Q1,0.022975414962563123,0.03535796937455427,0.0009255713820692363
2018Q2,0.03125327714143418,0.03951478853607045,0.02086491644357121
2018Q3,0.044069182189638914,0.0652243316097731,0.02301113621318323
2018Q4,0.05410498336747067,0.07436629996737094,0.03731422699584545
2019Q1,0.04144789119405765,0.059458633882766565,0.03344343522791635
2019Q2,0.027765306442434072,0.03612955302678845,0.01920162893572009
2019Q3,0.03602295053968611,0.05853943808846688,0.019407540708125528
2019Q4,0.038192013508159234,0.0608981465298354,0.024084096230962127
2020Q1,0.07142382096629486,0.10756494995345685,0.013509059737241555
2020Q2,0.06054001489716858,0.09078365539968385,0.045071406819652986
2020Q3,0.05281203912829559,0.07312618301074411,0.021568909423879665
2020Q4,0.06449791844966181,0.09284942931573872,0.05972280949007148
2021Q1,0.043164911573930605,0.0590093275879244,0.02487366337266034
2021Q2,0.04184906877720058,0.0610894867453667,0.040199083525278394
2021Q3,0.019934609442585252,0.025868041897025643,0.014961588439562492
2021Q4,0.03810753865724016,0.054560473594721055,0.01603730907041256
2022Q1,0.0403347977421666,0.051807350925663506,0.0309176397501272
2022Q2,0.03677749503185225,0.04542493018760159,0.02943716342201705
2022Q3,0.035198197218773104,0.04378129057533679,0.03158593976587523
2022Q4,0.03484627453258473,0.04180916577201928,0.020706676792934628
2023Q1,0.04327741725606479,0.05647695464169475,0.03857464806344629
2023Q2,0.02937954024810065,0.03878134100939213,0.02246979374731296
2023Q3,0.02872922944920672,0.03750461078771009,0.019152718821574623
2023Q4,0.030441013004600045,0.04177968482995748,0.02420807210671559
2024Q1,0.026460522983953634,0.044325052020586925,0.012791914960332634
2024Q2,0.04218859182829806,0.06031026123807724,0.028250020380586452
2024Q3,0.0419175405186603,0.0512954919270875,0.027528878382004175
2024Q4,0.055904866156532465,0.08203103057211056,0.03298769544742981
2025Q1,0.04109706343757658,0.050702111935298215,0.02435232701590915
2025Q2,0.06938271465787539,0.09147529253838302,0.05453781263996045
2025Q3,0.04349159428518902,0.05900647856722772,0.04196701280541045
