Date,q05,q50,q95,target_sigma
2018-06-01,0.16751765,0.20981544,0.2437579,0.16695719066095038
2018-06-04,0.13975804,0.1788317,0.21198514,0.1675350032724282
2018-06-05,0.13207266,0.17106372,0.20620719,0.11279185347728644
2018-06-06,0.10280545,0.13758942,0.17168686,0.11159359952200025
2018-06-07,0.093380086,0.12773463,0.1641304,0.11257375252463088
2018-06-08,0.09010596,0.12385672,0.16115993,0.11738840175400178
2018-06-11,0.09056651,0.12420307,0.1620923,0.10808595565010277
2018-06-12,0.08680328,0.11959103,0.157262,0.10822765814551763
2018-06-13,0.085569486,0.11825151,0.15634933,0.11233381307456257
2018-06-14,0.08662622,0.1194247,0.15787089,0.10658347906986906
2018-06-15,0.08466252,0.11700252,0.1552481,0.10922149020316917
2018-06-18,0.08499757,0.117466904,0.1560401,0.10668234089939585
2018-06-19,0.08406828,0.11629921,0.15482032,0.12084544207388313
2018-06-20,0.08934164,0.12245654,0.16159618,0.11915985294796667
2018-06-21,0.09024761,0.12318422,0.16189331,0.12035679946322587
2018-06-22,0.091093734,0.124172896,0.16288498,0.11800157379411406
2018-06-25,0.090398654,0.1233294,0.16192329,0.12773103342942438
2018-06-26,0.09434706,0.12794414,0.16692728,0.13599220624862643
2018-06-27,0.09930317,0.13344744,0.17237362,0.1356872914087001
2018-06-28,0.10077142,0.13495865,0.17347258,0.13852667147106928
2018-06-29,0.10266433,0.13714406,0.17562512,0.13826769710230807
2018-07-02,0.103182115,0.13768882,0.17600465,0.12863436999409245
2018-07-03,0.09896505,0.13283825,0.17082617,0.13659190123364096
2018-07-05,0.10130814,0.1357208,0.17431083,0.1368904816292962
2018-07-06,0.10208131,0.13641989,0.17484048,0.14638681387663996
2018-07-09,0.106909566,0.141918,0.18057132,0.15554309182163398
2018-07-10,0.11305601,0.14872757,0.18723905,0.15252770481273195
2018-07-11,0.11348566,0.1490232,0.18695202,0.15868446811023923
2018-07-12,0.11698239,0.15308902,0.19114476,0.16866631733336387
2018-07-13,0.12345933,0.16034213,0.19834623,0.1662542944137555
2018-07-16,0.12419955,0.16098636,0.19839913,0.16644578752017253
2018-07-17,0.12470045,0.16162303,0.19898048,0.16232224350593802
2018-07-18,0.122676246,0.15933424,0.19654942,0.1636858441463882
2018-07-19,0.12282904,0.15959182,0.19700757,0.15363904329618785
2018-07-20,0.117513604,0.1534936,0.19065186,0.15384331240530624
2018-07-23,0.11601717,0.15197602,0.18958342,0.1518395168719925
2018-07-24,0.11440114,0.15009928,0.18778694,0.15214327053353188
2018-07-25,0.1139872,0.14962627,0.1874789,0.140790694515993
2018-07-26,0.108137675,0.14287278,0.18047607,0.13832196710100347
2018-07-27,0.105137825,0.13961785,0.17767432,0.1531613121415322
2018-07-30,0.111372046,0.14677128,0.18553925,0.1538052041871225
2018-07-31,0.11349807,0.14883357,0.18714425,0.15337793300150437
2018-08-01,0.11401167,0.14936304,0.1875372,0.24585863440900482
2018-08-02,0.16924219,0.2115341,0.251784,0.2482390222501423
2018-08-03,0.1880295,0.23054618,0.26679313,0.24827679844952993
2018-08-06,0.19511385,0.23852347,0.27372813,0.24643856241864132
2018-08-07,0.19692308,0.24077722,0.2755102,0.24918590462658988
2018-08-08,0.19985606,0.24427783,0.2789406,0.2487787369911945
2018-08-09,0.20064263,0.24522501,0.2796384,0.2410806625991935
2018-08-10,0.19578709,0.23988771,0.2739618,0.2387701710182701
2018-08-13,0.19297855,0.23696145,0.2711787,0.2387123210215252
2018-08-14,0.19205096,0.23600887,0.27030772,0.23752923980097912
2018-08-15,0.19089065,0.23472005,0.26898596,0.23758280693608266
2018-08-16,0.1905516,0.23436141,0.26866344,0.23696555830769703
2018-08-17,0.18999366,0.23373222,0.26801428,0.24196144539959918
2018-08-20,0.19318934,0.23730445,0.27175105,0.24660761692428423
2018-08-21,0.19722992,0.24170378,0.27610046,0.247513823255788
2018-08-22,0.19906932,0.24365056,0.2778684,0.24818988733643338
2018-08-23,0.20019516,0.24489069,0.27905342,0.24797674341677212
2018-08-24,0.2004612,0.24518946,0.2792939,0.24634362490453388
2018-08-27,0.19948329,0.24412042,0.278159,0.2330252121939017
2018-08-28,0.19019875,0.2338202,0.26750487,0.2288752727235948
2018-08-29,0.18484873,0.22814715,0.26222542,0.22957871068980396
2018-08-30,0.18354057,0.22680253,0.2611447,0.14297252502673857
2018-08-31,0.13122772,0.16796732,0.20015731,0.11761477707325277
2018-09-04,0.10496085,0.13967195,0.17491034,0.11756236251062192
2018-09-05,0.09597292,0.12984592,0.16711453,0.12371044954856547
2018-09-06,0.09496221,0.12851727,0.16683108,0.13580303714747322
2018-09-07,0.09963356,0.13359876,0.17250153,0.14155390742567914
2018-09-10,0.10362726,0.13781905,0.17660883,0.15185824999150807
2018-09-11,0.10996836,0.14492643,0.18374655,0.1695100809246179
2018-09-12,0.121322595,0.15766528,0.19643891,0.1780009432884933
2018-09-13,0.12973447,0.16687551,0.20491949,0.19253087605255131
2018-09-14,0.14107142,0.1795483,0.2172412,0.19947240431070268
2018-09-17,0.14896749,0.188212,0.22514838,0.2199764167395036
2018-09-18,0.16451801,0.20556095,0.24234131,0.20919006695761155
2018-09-19,0.16253926,0.203055,0.23844218,0.20604479445772286
2018-09-20,0.16056523,0.20117095,0.2366113,0.20717464026586488
2018-09-21,0.16081594,0.20162189,0.23715332,0.21125219576098642
2018-09-24,0.16344248,0.20459014,0.24013352,0.21650984638012186
2018-09-25,0.16756044,0.2091308,0.24457079,0.21716006898736265
2018-09-26,0.16924925,0.2109308,0.24607843,0.2179323977903922
2018-09-27,0.17037946,0.21220693,0.24724251,0.22723593351082816
2018-09-28,0.17684585,0.21942927,0.254604,0.22196362060871722
2018-10-01,0.17530107,0.21754912,0.25215003,0.22093527032585894
2018-10-02,0.17441243,0.2166925,0.25136867,0.2194615152111269
