regime_code,avg_return,volatility,count,sharpe_proxy,regime_name
1,-0.0027264987047170655,0.01316084661369163,18,-0.20716742507131763,LOW
2,-0.006025569790820632,0.03563901654085107,7,-0.16907228020486617,MEDIUM
3,-0.025032628203218943,0.06809094126987186,3,-0.3676352204326937,HIGH
4,0.0006531519150132921,0.015229738757648407,708,0.04288661318535604,EXTREME
