Date,AAPL,GOOGL,MSFT
2018-01-03,-0.00017419830285125837,0.01706088692925989,0.004654180886091819
2018-01-04,0.004644837630516818,0.003884476158599437,0.00880104911469215
2018-01-05,0.01138545425715698,0.013260115784273552,0.01239827604236754
2018-01-08,-0.0037145199922559158,0.003530684360343761,0.00102055239554244
2018-01-09,-0.00011470899755350317,-0.001274427298162517,-0.000679612195939594
2018-01-10,-0.00022925762255920912,-0.002381332056153207,-0.004534141551795212
2018-01-11,0.005680095660444584,0.0017204686754404008,0.0029603805431717145
2018-01-12,0.010326407809552407,0.016725830074704406,0.01725731582875678
2018-01-16,-0.005082312829090774,4.4191598206566596e-05,-0.013951076392614392
2018-01-17,0.016516182160402737,0.007429087158679071,0.020260126999340544
2018-01-18,0.0008934248546379475,-0.002747853420596469,-0.00044366479593205277
2018-01-19,-0.004462592123400944,0.006628775914199858,-0.0011097460492590638
2018-01-22,-0.008180995521324896,0.018067310564906514,0.017889002217641004
2018-01-23,0.00022589119454607953,0.010316384372244691,0.0031655412401483396
2018-01-24,-0.015928672373183184,-0.004149072436101742,-0.0008705157711498268
2018-01-25,-0.017850883063559864,0.009263337122342286,0.005554260677723244
2018-01-26,0.0023375249453920777,0.004584872537141349,0.01873716657721225
2018-01-29,-0.020698327926238158,-0.0009093382641398584,-0.0014882873499266758
2018-01-30,-0.005894357701225705,-0.007678190691079223,-0.012564254127560903
2018-01-31,0.0027547234760527672,0.004119289244965296,0.024477318359428235
2018-02-01,0.002090423754009585,-0.0005329406880316689,-0.00789383681273792
2018-02-02,-0.0433899745798656,-0.052801603325130286,-0.026310336175936144
2018-02-05,-0.024984573605951854,-0.05075954293355733,-0.04118524773735166
2018-02-06,0.041791832907955184,0.020745714673149562,0.037840647740299715
2018-02-07,-0.021406932039398918,-0.026760578731673257,-0.018832900849791723
2018-02-08,-0.027516599647918194,-0.04519569157183534,-0.051333364020688
2018-02-09,0.012231439215514728,0.03826485593717677,0.03728965085973557
2018-02-12,0.04027855462614682,0.007923465479609204,0.010773355871528167
